Tempo(s),PWM_Aplicado(%),RPM_M1,RPM_M1_Filt
3.2850,78,307.6900,293.5937
3.2900,78,282.0500,293.5054
3.2950,78,282.0500,293.4909
3.3000,78,307.6900,293.5490
3.3050,78,282.0500,293.6433
3.3100,78,307.6900,293.7347
3.3150,78,282.0500,293.7962
3.3200,78,307.6900,293.8125
3.3250,78,282.0500,293.7794
3.3300,78,307.6900,293.7034
3.3350,78,282.0500,293.6022
3.3400,78,307.6900,293.5057
3.3450,78,282.0500,293.4561
3.3500,78,282.0500,293.4932
3.3550,78,307.6900,293.6222
3.3600,78,282.0500,293.8132
3.3650,78,307.6900,294.0327
3.3700,78,282.0500,294.2573
3.3750,78,307.6900,294.4723
3.3800,78,282.0500,294.6692
3.3850,78,307.6900,294.8433
3.3900,78,282.0500,294.9924
3.3950,78,307.6900,295.1144
3.4000,78,282.0500,295.2064
3.4050,78,307.6900,295.2629
3.4100,78,282.0500,295.2754
3.4150,78,307.6900,295.2315
3.4200,78,282.0500,295.1152
3.4250,78,307.6900,294.9072
3.4300,78,282.0500,294.5859
3.4350,78,307.6900,294.1303
3.4400,78,282.0500,293.5226
3.4450,78,282.0500,292.7373
3.4500,78,307.6900,291.7150
3.4550,0,282.0500,290.3704
3.4600,0,307.6900,288.6355
3.4650,0,282.0500,286.4896
3.4700,0,282.0500,283.9607
3.4750,0,282.0500,281.0985
3.4800,0,282.0500,277.9512
3.4850,0,282.0500,274.5781
3.4900,0,256.4100,271.0648
3.4950,0,256.4100,267.4920
3.5000,0,282.0500,263.8902
3.5050,0,256.4100,260.2590
3.5100,0,256.4100,256.6197
3.5150,0,256.4100,253.0194
3.5200,0,230.7700,249.5028
3.5250,0,256.4100,246.0841
3.5300,0,230.7700,242.7331
3.5350,0,256.4100,239.3948
3.5400,0,230.7700,236.0222
3.5450,0,230.7700,232.5949
3.5500,0,230.7700,229.1043
3.5550,0,230.7700,225.5400
3.5600,0,230.7700,221.9085
3.5650,0,205.1300,218.2534
3.5700,0,205.1300,214.6267
3.5750,0,230.7700,211.0453
3.5800,0,205.1300,207.5105
3.5850,0,205.1300,204.0610
3.5900,0,179.4900,200.7592
3.5950,0,205.1300,197.6293
3.6000,0,205.1300,194.6419
3.6050,0,179.4900,191.7615
3.6100,0,205.1300,188.9773
3.6150,0,179.4900,186.2994
3.6200,0,179.4900,183.7549
3.6250,0,179.4900,181.3660
3.6300,0,179.4900,179.1278
3.6350,0,179.4900,177.0152
3.6400,0,179.4900,175.0065
3.6450,0,153.8500,173.0882
3.6500,0,179.4900,171.2267
3.6550,0,153.8500,169.3400
3.6600,0,153.8500,167.2841
3.6650,0,153.8500,164.8244
3.6700,0,153.8500,161.6094
3.6750,0,153.8500,157.1810
3.6800,0,153.8500,151.0090
3.6850,0,153.8500,142.5385
3.6900,0,128.2100,131.2387
3.6950,0,128.2100,116.6261
3.7000,0,153.8500,98.3003
3.7050,-93,128.2100,76.0766
3.7100,-93,102.5600,50.1717
3.7150,-93,25.6400,21.2806
3.7200,-93,-25.6400,-9.5366
3.7250,-93,-51.2800,-41.0859
3.7300,-93,-102.5600,-72.2346
3.7350,-93,-128.2100,-102.0193
3.7400,-93,-153.8500,-129.7080
3.7450,-93,-179.4900,-154.8265
3.7500,-93,-179.4900,-177.1405
3.7550,-93,-205.1300,-196.5972
3.7600,-93,-230.7700,-213.2626
3.7650,-93,-230.7700,-227.3023
3.7700,-93,-230.7700,-238.9750
3.7750,-93,-256.4100,-248.5857
3.7800,-93,-256.4100,-256.4482
3.7850,-93,-256.4100,-262.8831
3.7900,-93,-256.4100,-268.2016
3.7950,-93,-282.0500,-272.6715
3.8000,-93,-256.4100,-276.5109
3.8050,-93,-282.0500,-279.8901
3.8100,-93,-282.0500,-282.9247
3.8150,-93,-282.0500,-285.6893
3.8200,-93,-282.0500,-288.2348
3.8250,-93,-307.6900,-290.5927
3.8300,-93,-282.0500,-292.7979
3.8350,-93,-282.0500,-294.8968
3.8400,-93,-307.6900,-296.9086
3.8450,-93,-307.6900,-298.8207
3.8500,-93,-282.0500,-300.6325
3.8550,-93,-307.6900,-302.3527
3.8600,-93,-307.6900,-303.9647
3.8650,-93,-307.6900,-305.4416
3.8700,-93,-307.6900,-306.7786
3.8750,-93,-307.6900,-307.9941
3.8800,-93,-307.6900,-309.1163
3.8850,-93,-307.6900,-310.1711
3.8900,-93,-307.6900,-311.1700
3.8950,-93,-307.6900,-312.1000
3.9000,-93,-333.3300,-312.9295
3.9050,-93,-307.6900,-313.6477
3.9100,-93,-307.6900,-314.2881
3.9150,-93,-307.6900,-314.8894
3.9200,-93,-333.3300,-315.4562
3.9250,-93,-307.6900,-315.9854
3.9300,-93,-307.6900,-316.4927
3.9350,-93,-333.3300,-316.9910
3.9400,-93,-307.6900,-317.4852
3.9450,-93,-307.6900,-317.9837
3.9500,-93,-333.3300,-318.4767
3.9550,-93,-307.6900,-318.9315
3.9600,-93,-333.3300,-319.3199
3.9650,-93,-307.6900,-319.6301
3.9700,-93,-333.3300,-319.8624
3.9750,-93,-307.6900,-320.0265
3.9800,-93,-333.3300,-320.1390
3.9850,-93,-307.6900,-320.2215
3.9900,-93,-333.3300,-320.2996
3.9950,-93,-307.6900,-320.4017
4.0000,-93,-333.3300,-320.5584
4.0050,-93,-307.6900,-320.8009
4.0100,-93,-307.6900,-321.1434
